"filename", "language", "JSON", "HTML", "JavaScript", "Markdown", "SVG", "CSS", "Vue", "YAML", "comment", "blank", "total"
"e:\Develop\Project\xm-editor\src\components\core\menu\button\SvgIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 63, 0, 0, 10, 73
"e:\Develop\Project\xm-editor\src\components\core\menu\button\UniversalButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"e:\Develop\Project\xm-editor\src\components\setting\EditorProps.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 15, 1, 86
"e:\Develop\Project\xm-editor\src\components\setting\iconMap.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 1, 8, 56
"e:\Develop\Project\xm-editor\src\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"e:\Develop\Project\xm-editor\src\styles\base.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"e:\Develop\Project\xm-editor\src\styles\codeBlock\default.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 1, 10, 72
"e:\Develop\Project\xm-editor\src\styles\codeBlock\github-dark.css", "CSS", 0, 0, 0, 0, 0, 92, 0, 0, 25, 18, 135
"e:\Develop\Project\xm-editor\src\styles\editor.css", "CSS", 0, 0, 0, 0, 0, 88, 0, 0, 14, 19, 121
"e:\Develop\Project\xm-editor\src\utils\buttonUtil.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Develop\Project\xm-editor\vite.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 7, 2, 41
"Total", "-", 58, 13, 497, 3, 79, 245, 799, 2440, 152, 921, 5207
